Date,Total Sales,Number of Transactions,Total Hours Worked,Number of Staff
2020-01-01,3232,50,188,12
2020-01-02,3107,261,93,17
2020-01-03,2153,184,56,11
2020-01-04,3764,271,50,8
2020-01-05,1533,117,101,10
2020-01-06,4873,81,146,16
2020-01-07,3968,79,73,17
2020-01-08,1205,66,68,10
2020-01-09,3099,245,82,9
2020-01-10,2635,76,52,8
2020-01-11,2722,56,62,7
2020-01-12,3397,283,114,6
2020-01-13,2201,279,176,17
2020-01-14,1037,61,122,14
2020-01-15,3393,131,53,11
2020-01-16,2663,105,191,15
2020-01-17,2546,175,176,17
2020-01-18,2371,93,181,5
2020-01-19,2996,117,184,5
2020-01-20,599,70,198,11
2020-01-21,2508,269,108,8
2020-01-22,1255,169,52,14
2020-01-23,1297,270,108,13
2020-01-24,1159,64,160,8
2020-01-25,3719,64,132,16
2020-01-26,923,130,130,8
2020-01-27,3837,277,107,18
2020-01-28,3245,241,83,15
2020-01-29,1044,167,119,12
2020-01-30,1214,280,129,14
2020-01-31,2792,93,139,9
2020-02-01,651,205,74,16
2020-02-02,3223,152,150,17
2020-02-03,4031,265,171,13
2020-02-04,3430,198,114,11
2020-02-05,1707,73,127,11
2020-02-06,1302,84,62,12
2020-02-07,2676,82,163,7
2020-02-08,2676,115,99,10
2020-02-09,2456,72,181,9
2020-02-10,4122,71,165,16
2020-02-11,4060,235,191,15
2020-02-12,1256,118,125,16
2020-02-13,4869,95,67,15
2020-02-14,4984,282,118,17
2020-02-15,2141,217,97,17
2020-02-16,3614,74,124,5
2020-02-17,4853,136,166,10
2020-02-18,4571,67,152,14
2020-02-19,4509,230,86,11
2020-02-20,2605,268,75,18
2020-02-21,4442,186,85,11
2020-02-22,3691,55,114,16
2020-02-23,930,275,58,16
2020-02-24,4687,136,56,13
2020-02-25,2946,132,151,18
2020-02-26,3159,60,185,15
2020-02-27,2089,112,132,19
2020-02-28,3456,79,170,10
2020-02-29,3181,189,67,7
2020-03-01,4680,208,53,17
2020-03-02,2751,121,176,19
2020-03-03,4920,108,58,17
2020-03-04,1571,272,97,8
2020-03-05,1704,92,93,12
2020-03-06,4418,263,53,14
2020-03-07,1667,121,94,8
2020-03-08,2184,203,125,10
2020-03-09,3799,286,99,15
2020-03-10,3267,104,100,6
2020-03-11,3457,168,188,6
2020-03-12,4969,133,152,5
2020-03-13,1060,75,112,9
2020-03-14,2105,223,132,14
2020-03-15,1972,171,112,18
2020-03-16,4178,284,167,16
2020-03-17,756,181,135,15
2020-03-18,4262,166,139,17
2020-03-19,2454,262,51,18
2020-03-20,1316,291,199,16
2020-03-21,2935,133,188,15
2020-03-22,2134,299,170,8
2020-03-23,1473,87,63,8
2020-03-24,4964,211,116,9
2020-03-25,2523,238,185,15
2020-03-26,3465,158,90,8
2020-03-27,701,267,106,14
2020-03-28,2931,57,135,10
2020-03-29,2918,238,87,18
2020-03-30,3955,215,184,17
2020-03-31,4726,134,50,13
2020-04-01,1431,148,186,6
2020-04-02,2487,66,173,15
2020-04-03,3287,223,142,18
2020-04-04,4805,282,113,14
2020-04-05,3110,217,107,8
2020-04-06,4682,83,150,5
2020-04-07,2559,147,89,11
2020-04-08,807,115,159,19
2020-04-09,1652,251,141,9
2020-04-10,775,137,145,19
2020-04-11,1708,118,123,12
2020-04-12,2992,74,170,11
2020-04-13,3036,56,57,10
2020-04-14,1137,147,149,11
2020-04-15,1270,164,78,5
2020-04-16,594,110,172,12
2020-04-17,3798,266,135,12
2020-04-18,2844,111,61,18
2020-04-19,3591,294,53,6
2020-04-20,4412,237,68,5
2020-04-21,1934,297,96,15
2020-04-22,680,171,155,18
2020-04-23,2871,252,195,16
2020-04-24,4354,79,161,16
2020-04-25,2687,289,104,7
2020-04-26,3146,298,161,16
2020-04-27,4033,78,197,11
2020-04-28,3437,202,121,11
2020-04-29,2145,181,151,12
2020-04-30,2052,260,160,9
2020-05-01,3724,199,124,8
2020-05-02,2697,56,169,19
2020-05-03,1634,134,119,8
2020-05-04,525,71,96,10
2020-05-05,1988,169,161,6
2020-05-06,1456,77,179,5
2020-05-07,2413,204,176,16
2020-05-08,3434,267,154,6
2020-05-09,1969,242,163,7
2020-05-10,3221,160,169,10
2020-05-11,2396,181,95,17
2020-05-12,1428,103,160,15
2020-05-13,3311,87,168,19
2020-05-14,969,57,114,9
2020-05-15,2835,170,151,14
2020-05-16,1025,130,55,7
2020-05-17,2363,253,159,14
2020-05-18,2220,189,85,11
2020-05-19,1091,286,159,9
2020-05-20,2822,180,85,16
2020-05-21,4010,104,174,6
2020-05-22,707,55,154,5
2020-05-23,4762,67,141,16
2020-05-24,3921,175,187,12
2020-05-25,4589,128,93,16
2020-05-26,2410,183,181,13
2020-05-27,3360,128,157,7
2020-05-28,716,131,189,13
2020-05-29,524,283,156,10
2020-05-30,4663,160,182,8
2020-05-31,3526,158,110,7
2020-06-01,2782,80,52,7
2020-06-02,2240,148,119,17
2020-06-03,4887,53,97,11
2020-06-04,4281,178,195,13
2020-06-05,3275,143,129,19
2020-06-06,3103,94,91,16
2020-06-07,1662,222,154,6
2020-06-08,4575,286,53,9
2020-06-09,1123,177,96,18
2020-06-10,1270,165,162,18
2020-06-11,4551,239,101,6
2020-06-12,1741,50,147,15
2020-06-13,3211,67,61,8
2020-06-14,1321,207,153,12
2020-06-15,4903,141,112,18
2020-06-16,1698,212,186,18
2020-06-17,3497,292,181,8
2020-06-18,3095,293,157,19
2020-06-19,1307,278,104,19
2020-06-20,3965,237,104,5
2020-06-21,2621,71,75,16
2020-06-22,4893,113,159,12
2020-06-23,4386,272,184,8
2020-06-24,1230,298,121,19
2020-06-25,2295,151,143,19
2020-06-26,2323,195,88,5
2020-06-27,3966,88,57,13
2020-06-28,4111,257,164,8
2020-06-29,699,179,79,16
2020-06-30,1947,193,101,12
2020-07-01,2889,283,195,9
2020-07-02,3616,264,93,6
2020-07-03,3350,287,98,11
2020-07-04,2454,67,156,19
2020-07-05,2292,286,179,17
2020-07-06,1983,231,156,9
2020-07-07,697,200,103,15
2020-07-08,1394,255,177,8
2020-07-09,636,164,106,17
2020-07-10,2737,225,193,11
2020-07-11,2757,244,130,19
2020-07-12,1892,61,155,11
2020-07-13,3919,187,198,16
2020-07-14,668,292,104,9
2020-07-15,3352,90,178,7
2020-07-16,4772,232,173,12
2020-07-17,2061,229,99,8
2020-07-18,4919,97,180,6
2020-07-19,1008,54,181,15
2020-07-20,3686,188,80,5
2020-07-21,2277,291,63,11
2020-07-22,3861,184,70,6
2020-07-23,646,168,166,19
2020-07-24,4817,222,125,18
2020-07-25,3062,122,61,10
2020-07-26,1408,186,183,19
2020-07-27,3313,250,162,9
2020-07-28,4195,286,194,11
2020-07-29,3913,279,186,16
2020-07-30,923,68,77,8
2020-07-31,4123,52,184,6
2020-08-01,4234,247,158,19
2020-08-02,3986,271,92,12
2020-08-03,4229,299,182,19
2020-08-04,1467,279,193,12
2020-08-05,4870,150,178,13
2020-08-06,1360,156,87,16
2020-08-07,933,207,56,18
2020-08-08,1929,205,143,5
2020-08-09,4797,195,108,5
2020-08-10,4429,236,161,7
2020-08-11,3046,189,126,11
2020-08-12,829,99,114,6
2020-08-13,4112,122,100,14
2020-08-14,709,138,158,14
2020-08-15,4468,53,100,10
2020-08-16,1540,162,185,17
2020-08-17,664,61,76,6
2020-08-18,1106,107,111,12
2020-08-19,1719,228,64,8
2020-08-20,1831,193,113,16
2020-08-21,4732,235,135,14
2020-08-22,1452,181,102,8
2020-08-23,3665,168,185,7
2020-08-24,3298,278,86,9
2020-08-25,660,238,198,10
2020-08-26,2695,217,88,9
2020-08-27,1611,263,182,11
2020-08-28,3585,207,194,13
2020-08-29,2408,231,161,5
2020-08-30,3499,117,161,18
2020-08-31,3263,106,64,17
2020-09-01,1232,253,177,14
2020-09-02,781,169,65,11
2020-09-03,4354,129,192,12
2020-09-04,1808,95,188,14
2020-09-05,3896,140,54,15
2020-09-06,1095,129,134,11
2020-09-07,1147,275,155,18
2020-09-08,4540,61,102,10
2020-09-09,1073,297,103,9
2020-09-10,756,183,117,18
2020-09-11,3708,208,94,12
2020-09-12,3779,236,174,8
2020-09-13,1528,118,52,11
2020-09-14,4944,109,116,8
2020-09-15,3489,82,73,12
2020-09-16,1086,87,78,13
2020-09-17,3791,221,103,18
2020-09-18,3367,175,196,9
2020-09-19,1239,110,161,13
2020-09-20,3945,95,115,7
2020-09-21,937,79,118,11
2020-09-22,4398,205,86,11
2020-09-23,4511,281,131,10
2020-09-24,2347,77,74,19
2020-09-25,2032,79,157,12
2020-09-26,1520,176,126,13
2020-09-27,1441,122,84,7
2020-09-28,3403,125,135,17
2020-09-29,949,147,106,7
2020-09-30,3898,256,113,5
2020-10-01,3625,88,86,18
2020-10-02,1316,61,157,17
2020-10-03,2607,252,56,13
2020-10-04,2190,296,195,16
2020-10-05,4759,139,81,18
2020-10-06,4142,82,164,6
2020-10-07,1445,228,56,15
2020-10-08,701,90,66,15
2020-10-09,2305,248,80,18
2020-10-10,2362,80,78,14
2020-10-11,1050,200,177,18
2020-10-12,4251,173,152,15
2020-10-13,2172,125,88,15
2020-10-14,2540,85,79,12
2020-10-15,1403,262,52,10
2020-10-16,1004,246,133,16
2020-10-17,4311,113,126,18
2020-10-18,1979,54,196,12
2020-10-19,4996,227,114,17
2020-10-20,3628,166,67,10
2020-10-21,4321,207,54,11
2020-10-22,3211,241,182,7
2020-10-23,780,111,196,16
2020-10-24,1528,141,64,18
2020-10-25,3160,161,60,15
2020-10-26,2853,261,100,12
2020-10-27,2891,154,84,12
2020-10-28,653,140,53,18
2020-10-29,4360,76,58,9
2020-10-30,2905,123,132,19
2020-10-31,3245,228,118,8
2020-11-01,1553,273,185,15
2020-11-02,3477,144,156,8
2020-11-03,4393,67,143,10
2020-11-04,3179,249,85,10
2020-11-05,3495,106,96,11
2020-11-06,4603,293,108,6
2020-11-07,3165,85,181,7
2020-11-08,3557,251,116,5
2020-11-09,4468,270,53,17
2020-11-10,1351,97,121,19
2020-11-11,1900,98,116,18
2020-11-12,4293,169,162,7
2020-11-13,3831,249,121,10
2020-11-14,626,167,60,7
